merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
IYZ60LwHOoQHKa,2023-03-01,Retained,36,122001.0,
IbLODeHihBFWMj,2022-02-01,Retained,19,15260.17,2022-03-01
IpsR48AIq9mISk,2022-08-01,Retained,2,17800.0,2022-09-01
K3UIlEQxCGXtKq,2022-12-01,Retained,6,15094.0,
K4N8hCZNdg8b4P,2022-08-01,New,6,2810.0,2022-09-01
K5xVsRrybXxhLu,2022-11-01,Retained,1,499902.0,2022-12-01
K9SsgkaEc1joRn,2023-04-01,Retained,3,13600.0,
KKufVfdsPyLlYk,2023-02-01,Revived,2,50828.0,
KZBk3J4GJbv14n,2022-11-01,Retained,2,798.0,2022-12-01
KbshkuHFUbf7kc,2023-02-01,Retained,272,33999.0,
KlKvrfg9bXGsPS,2023-03-01,Retained,887,1586251.0,
KlOpyP1uJpSxEV,2023-04-01,Retained,41,1115161.33,
KCAQOSEj9EwTbt,2022-08-01,New,1,1.0,2022-09-01
KEUimAMOkYC0eR,2023-07-01,Retained,23,168950.0,2023-08-01
KNaM0ggll2S8Rb,2023-02-01,Retained,5,5500.0,
KNaM0ggll2S8Rb,2023-05-01,Retained,1,1100.0,
ISuV12VT7S7Bb5,2023-04-01,Retained,3,75030.0,
IXmgXBQ3q465qU,2021-12-01,New,17,33150.0,
IXmgXBQ3q465qU,2023-04-01,Retained,28,40972.75,
IdK2DnvycFF89A,2023-07-01,Retained,4,25670.0,2023-08-01
InHx2eQvPYbEQc,2022-12-01,New,17,11676.0,
IpSFmfvuu3l8Hj,2022-02-01,New,4,54501.0,2022-03-01
IqDgj9p0vYOm42,2022-08-01,Retained,1,1000.0,2022-09-01
Iv6kBBtHHac2OO,2023-02-01,Revived,2,833.0,
B0rkH3j0oI48gM,2022-08-01,Retained,28,44525.0,
KgitbtgPIypexh,2022-12-01,Retained,61310,47136842.05,
KjCVlFy92C5BUf,2022-11-01,New,1,1.0,2022-12-01
KpRqo4BhNwdbqw,2023-04-01,Retained,6,6505.0,
JA8eBMUcGv4hZP,2022-12-01,Retained,17,3570.0,
JCaIWeoD9F1hkw,2023-05-01,Retained,93,54005.0,
JInW4we5uiEdR8,2022-12-01,New,1,1.0,
JR2ucwnBzmlTv5,2023-03-01,Revived,2,4.0,2023-04-01
JSGFwtliASptyx,2022-08-01,New,3,200.55,2022-09-01
JbmoiMnH2hnoHv,2022-08-01,Revived,1,1500.0,2022-09-01
JlmKwCsc4Iko08,2023-05-01,Retained,12,43736.92,
JtXF6FumSMFxR3,2023-04-01,New,2,550.0,
K3rt9dGjlphfmD,2023-07-01,Retained,72,171282.0,2023-08-01
K4gSDRRWVIOco3,2022-08-01,New,1,11.0,2022-09-01
J9QYQQqyDHQ7eH,2022-06-01,Retained,9,23900.0,
J9dowxM67cyOz1,2023-05-01,Retained,12326,2466331.0,
JA0RniPXWIMBb0,2022-11-01,New,1,1.0,2022-12-01
JL6rRMzzU5nUz4,2022-11-01,Retained,5,7295.0,2022-12-01
JS0o9tda8uBnuV,2022-05-01,New,1,1.0,2022-06-01
JVv7i8tMlq85fZ,2022-06-01,New,169,3792657.2,
JVv7i8tMlq85fZ,2022-12-01,Retained,14,430251.56,
JVv7i8tMlq85fZ,2023-01-01,Retained,4,91361.36,
JVv7i8tMlq85fZ,2023-02-01,Retained,1,22818.6,
JVyy4TGp8pmaKH,2022-05-01,New,17,12993.0,2022-06-01
JZPHRaUbkCqt5q,2023-04-01,Retained,25,62500.0,
JkkuiBpMvvJgx6,2022-12-01,Retained,6,1194.0,
Jz33fjTviWQ3PF,2022-12-01,Retained,22,2863.0,
K26W8QuslLZYat,2022-11-01,New,1,1.0,2022-12-01
K3srltER7UBu5J,2022-08-01,New,1,10.0,2022-09-01
IN2EuUQRLRtrZO,2022-05-01,Revived,1,5.0,2022-06-01
IVlRTvT5v8oiWc,2022-05-01,Retained,1,1.0,2022-06-01
Ikk1WOSUZHR6Rn,2022-02-01,New,1,14160.0,2022-03-01
IktB7spPnzynbx,2022-02-01,New,3,32.0,2022-03-01
ImfbpdDEIDMbsH,2022-12-01,Retained,7,7010.0,
IogCh35pRCfALL,2022-08-01,Retained,1,18000.0,2022-09-01
K780BLjB5wXcuT,2022-08-01,New,2,7.0,2022-09-01
I4VRLw76PgXhRF,2021-11-01,Retained,19,56300.0,
I4pub6Ap7AvBEn,2022-08-01,Revived,1,360.0,2022-09-01
I8JFX23S9z8hDz,2022-07-01,Retained,18,426993.92,
I8JFX23S9z8hDz,2023-03-01,Retained,18,261106.17,
IBSCKnSRhZw01X,2021-12-01,New,4,1729.0,2022-01-01
II09zYS24Akf0A,2022-06-01,Retained,405,159895.0,
